nit,fecha_corte,Patrimonio_Total,Activo_Total,Pasivo_Total,Tamano_Empresa,Razon_Endeudamiento,Insolvencia_Tecnica,Ano_Corte,Fuente,Pais_Matriz
802005634,2020-12-31,,,1804428.0,,,No,2020,SIREM - Supersociedades,COL
802005761,2016-12-31,,,1257980.0,,,No,2016,SIREM - Supersociedades,COL
802005771,2016-12-31,,5052604.0,,Pequeña,,No,2016,SIREM - Supersociedades,COL
802005820,2016-12-31,,14204417.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
802005944,2021-12-31,967998.0,,,,,No,2021,SIREM - Supersociedades,COL
802006180,2016-12-31,2488047.0,,,,,No,2016,SIREM - Supersociedades,COL
802006180,2019-12-31,,4274434.0,,Pequeña,,No,2019,SIREM - Supersociedades,COL
802006180,2020-12-31,1710579.0,,,,,No,2020,SIREM - Supersociedades,COL
802006240,2016-12-31,10133636.0,,5285340.0,,,No,2016,SIREM - Supersociedades,COL
802006258,2018-12-31,14507684.0,,,,,No,2018,SIREM - Supersociedades,COL
802006258,2019-12-31,,85057590.0,,Grande,,No,2019,SIREM - Supersociedades,COL
802006391,2019-12-31,,5931587.0,,Pequeña,,No,2019,SIREM - Supersociedades,COL
802006404,2020-12-31,,,6349019.0,,,No,2020,SIREM - Supersociedades,COL
802006419,2021-12-31,467600.0,,,,,No,2021,SIREM - Supersociedades,COL
802006482,2019-12-31,139254368.0,,,,,No,2019,SIREM - Supersociedades,COL
802006527,2016-12-31,,6865523.0,,Mediana,,No,2016,SIREM - Supersociedades,COL
802006558,2016-12-31,,,110274.0,,,No,2016,SIREM - Supersociedades,COL
802006730,2019-12-31,,47883492.0,,Grande,,No,2019,SIREM - Supersociedades,COL
802006901,2020-12-31,1766185.0,,,,,No,2020,SIREM - Supersociedades,COL
802006901,2021-12-31,,,3760008.0,,,No,2021,SIREM - Supersociedades,COL
802007384,2020-12-31,,,11486763.0,,,No,2020,SIREM - Supersociedades,COL
802007556,2016-12-31,,,8143877.0,,,No,2016,SIREM - Supersociedades,COL
802007602,2018-12-31,,,10030620.0,,,No,2018,SIREM - Supersociedades,COL
802007642,2019-12-31,876487.0,,,,,No,2019,SIREM - Supersociedades,COL
802007642,2021-12-31,806991.0,,,,,No,2021,SIREM - Supersociedades,COL
802007733,2020-12-31,3262095.0,7904896.0,4642801.0,Mediana,0.5873323317599625,No,2020,SIREM - Supersociedades,COL
802007776,2016-12-31,876151.0,,,,,No,2016,SIREM - Supersociedades,COL
802007776,2020-12-31,,,4004442.0,,,No,2020,SIREM - Supersociedades,COL
802008190,2018-12-31,,12125695.0,,Mediana,,No,2018,SIREM - Supersociedades,COL
802008192,2018-12-31,,,46536334.0,,,No,2018,SIREM - Supersociedades,COL
802008192,2020-12-31,,78385324.0,,Grande,,No,2020,SIREM - Supersociedades,COL
802008390,2016-12-31,1555029.0,,,,,No,2016,SIREM - Supersociedades,COL
802008488,2019-12-31,7735792.0,,,,,No,2019,SIREM - Supersociedades,COL
802008488,2020-12-31,,,4432981.0,,,No,2020,SIREM - Supersociedades,COL
802008572,2020-12-31,,20140531.0,,Mediana,,No,2020,SIREM - Supersociedades,COL
802008637,2016-12-31,,,0.0,,,No,2016,SIREM - Supersociedades,COL
802008687,2019-12-31,577390.0,,,,,No,2019,SIREM - Supersociedades,COL
802008687,2020-12-31,,,840548.0,,,No,2020,SIREM - Supersociedades,COL
802008760,2016-12-31,,,3805118.0,,,No,2016,SIREM - Supersociedades,COL
802008760,2021-12-31,6357853.0,,,,,No,2021,SIREM - Supersociedades,COL
802008802,2016-12-31,,2249452.0,,Pequeña,,No,2016,SIREM - Supersociedades,COL
802008914,2016-12-31,312317.0,,,,,No,2016,SIREM - Supersociedades,COL
802008914,2020-12-31,-794021.0,,,,,Sí,2020,SIREM - Supersociedades,COL
802008919,2019-12-31,7878108.0,,,,,No,2019,SIREM - Supersociedades,COL
802008944,2020-12-31,,,968486.0,,,No,2020,SIREM - Supersociedades,COL
802009050,2020-12-31,,2677566.0,,Pequeña,,No,2020,SIREM - Supersociedades,COL
802009120,2016-12-31,,,74046042.0,,,No,2016,SIREM - Supersociedades,COL
802009120,2021-12-31,-9933705.0,,,,,Sí,2021,SIREM - Supersociedades,COL
802009482,2019-12-31,,35500309.0,,Mediana,,No,2019,SIREM - Supersociedades,COL
